context,scope,cancer,geneA,geneB,jointStateContrast,multiplicativeInteractionContrast,nPatients,nEvents,nStudies,nStrata,jointStateCoefficient,jointStateStandardError,jointStateHazardRatio,jointStateCiLow,jointStateCiHigh,jointStateP,jointStateFdr,jointStatePhTestP,jointStateFitStatus,multiplicativeInteractionCoefficient,multiplicativeInteractionStandardError,multiplicativeInteractionHazardRatio,multiplicativeInteractionCiLow,multiplicativeInteractionCiHigh,multiplicativeInteractionP,multiplicativeInteractionFdr,multiplicativeInteractionPhTestP,multiplicativeInteractionFitStatus
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,69819,24369,118,278,-0.0695677212,0.1214985517,0.9327969611,0.7351354531,1.183605235,0.5669286562,0.6141727109,0.28013641,estimated,-0.3598597511,0.1269846573,0.6977741813,0.5440331449,0.894961663,0.004598606371,0.008540268975,0.28013641,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,69778,24345,112,259,0.2439234276,0.1300421881,1.276246602,0.9891052054,1.646746351,0.06069300432,0.07890090562,0.6601947562,estimated,0.0540569214,0.1371769423,1.055544684,0.8066987754,1.38115318,0.6935314919,0.6935314919,0.6601947562,estimated
CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,70604,24347,136,328,0.2370244694,0.06551214281,1.267472132,1.114742046,1.441127668,0.0002968614966,0.0005513142081,0.2171010764,estimated,-0.04358076486,0.08330248786,0.9573552303,0.813141091,1.12714638,0.6008609491,0.6509326948,0.2171010764,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,70399,24777,123,288,0.05675361617,0.1332979449,1.058395007,0.8150502143,1.374393836,0.6702790017,0.6702790017,0.4566765768,estimated,-0.08727925373,0.1380203185,0.9164211459,0.6992170241,1.201097353,0.527148233,0.6495046595,0.4566765768,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,70588,24359,136,327,-0.1677381969,0.08393673808,0.8455751799,0.7173071266,0.9967799821,0.04567457699,0.06597438899,0.9728134867,estimated,-0.4834059387,0.09966424517,0.6166794385,0.5072535663,0.7497109044,1.232471295e-06,4.005531707e-06,0.9728134867,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,58386,19231,93,201,0.8333242144,0.05779620994,2.300954909,2.054527151,2.576940144,3.968894813e-47,2.579781628e-46,2.795806209e-10,estimated,0.4224679555,0.0863039234,1.525722328,1.288289506,1.806914216,9.824637344e-07,4.005531707e-06,2.795806209e-10,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,72612,25531,139,332,0.5829216243,0.03019368827,1.791264194,1.688335416,1.900467989,4.775083522e-83,6.207608579e-82,0.06608032395,estimated,-0.1949063954,0.03781522557,0.8229116827,0.7641257756,0.8862201214,2.547461771e-07,3.311700302e-06,0.06608032395,estimated
PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,66845,22987,123,276,-0.4335728949,0.1140079908,0.6481890412,0.5183915414,0.8104858965,0.0001429517942,0.0003097288875,0.7889616968,estimated,-0.475640316,0.1223930514,0.621486981,0.4889347233,0.7899747126,0.000101837821,0.0002206486121,0.7889616968,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,72535,25497,139,329,0.4435872798,0.0311512161,1.558287216,1.465991812,1.656393323,5.187071251e-46,2.247730875e-45,0.3013074432,estimated,0.02456821724,0.041057315,1.024872503,0.9456311967,1.110754013,0.5495808657,0.6495046595,0.3013074432,estimated
PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,70675,24849,128,291,-0.1697853998,0.06267754741,0.8438458867,0.7462973727,0.9541449649,0.00675125538,0.01097078999,0.2372186421,estimated,-0.2724488671,0.0700575026,0.7615123665,0.6638101765,0.8735947486,0.0001006863011,0.0002206486121,0.2372186421,estimated
